Feha de la Medda,Hora de la Medda,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE  C,NEUTRO,POTENA ATVA AB [W],POTENA ATVA B [W],POTENA ACTIVA  [kW],
22/01/2016,12:20:00,419.8,417.1,420.8,10.82,5.474,8.085,,,,7331,6515.1
22/01/2016,12:22:00,419.9,417.6,420.8,10.86,5.246,7.985,,,,7321,6505.1
22/01/2016,12:24:00,419.4,417.3,420.2,10.8,5.031,7.91,,,,7276,6460.1
22/01/2016,12:26:00,419.3,417.1,420.5,10.84,5.38,8.057,,,,7320,6504.1
22/01/2016,12:28:00,419.3,416.7,420.3,10.73,5.388,8.042,,,,7270,6454.1
22/01/2016,12:30:00,421.5,419,422.3,10.72,5.19,7.969,,,,7293,6477.1
22/01/2016,12:32:00,421.7,419.3,422.1,10.51,4.812,7.776,,,,7167,6351.1
22/01/2016,12:34:00,421.6,419.4,422.6,10.45,4.745,7.669,,,,7100,6284.1
22/01/2016,12:36:00,421.4,419,422.2,10.33,4.791,7.61,,,,7017,6201.1
22/01/2016,12:38:00,421.5,419.2,422.1,10.43,4.854,7.687,,,,7081,6265.1
22/01/2016,12:40:00,421.5,419.1,422.2,10.4,4.878,7.68,,,,7062,6246.1
22/01/2016,12:42:00,421.6,419.2,422.5,10.46,4.863,7.618,,,,7053,6237.1
22/01/2016,12:44:00,421.2,419.2,423.1,10.61,4.807,7.563,,,,7085,6269.1
22/01/2016,12:46:00,421.6,418.8,422.5,10.17,4.797,7.349,,,,6818,6002.1
22/01/2016,12:48:00,421.5,419.2,422.5,10.43,4.778,7.528,,,,7008,6192.1
22/01/2016,12:50:00,421.4,419,422.2,10.32,4.725,7.526,,,,6972,6156.1
22/01/2016,12:52:00,421.4,418.8,422.8,10.28,4.725,7.5,,,,6948,6132.1
22/01/2016,12:54:00,422,419.3,422.6,10.33,4.604,7.495,,,,6986,6170.1
22/01/2016,12:56:00,421.8,419,422.3,10.3,4.655,7.479,,,,6951,6135.1
22/01/2016,12:58:00,421.8,419.5,422.6,10.27,4.613,7.416,,,,6915,6099.1
22/01/2016,13:00:00,421.6,419.3,423.1,10.43,4.719,7.549,,,,7031,6215.1
22/01/2016,13:02:00,422,419.8,422.8,10.47,4.461,7.482,,,,7041,6225.1
22/01/2016,13:04:00,422,419.4,422.6,10.26,4.521,7.361,,,,6896,6080.1
22/01/2016,13:06:00,421.9,419.3,422.6,10.08,4.571,7.293,,,,6787,5971.1
22/01/2016,13:08:00,421.7,419.5,422.4,10.05,4.383,7.255,,,,6779,5963.1
22/01/2016,13:10:00,421.2,419.1,422.6,10.03,4.349,7.115,,,,6699,5883.1
22/01/2016,13:12:00,421.8,419.2,422.5,9.912,4.319,7.031,,,,6618,5802.1
22/01/2016,13:14:00,421.6,419.1,422.5,9.815,4.255,6.934,,,,6538,5722.1
22/01/2016,13:16:00,421.5,419,422.7,9.685,4.175,6.83,,,,6449,5633.1
22/01/2016,13:18:00,421.2,418.9,422.2,9.721,4.032,6.826,,,,6474,5658.1
22/01/2016,13:20:00,421.4,419.1,421.7,9.615,3.983,6.783,,,,6418,5602.1
22/01/2016,13:22:00,421.5,419.2,422.3,9.782,4.02,6.794,,,,6481,5665.1
22/01/2016,13:24:00,421,418.7,422.3,9.772,3.954,6.762,,,,6464,5648.1
22/01/2016,13:26:00,421.3,419.1,422.6,9.796,4.008,6.811,,,,6497,5681.1
22/01/2016,13:28:00,421.3,419.2,422.2,9.882,3.865,6.796,,,,6533,5717.1
22/01/2016,13:30:00,421.4,419.5,422.2,9.861,3.86,6.795,,,,6527,5711.1
22/01/2016,13:32:00,421.6,419.8,422.8,9.946,3.775,6.759,,,,6554,5738.1
22/01/2016,13:34:00,421.2,419.2,423,9.79,3.941,6.732,,,,6462,5646.1
22/01/2016,13:36:00,421.3,419.3,422,9.922,3.797,6.792,,,,6551,5735.1
22/01/2016,13:38:00,420.9,419,421.5,9.844,3.778,6.809,,,,6531,5715.1
22/01/2016,13:40:00,420.7,419.2,421.8,9.888,3.899,6.804,,,,6527,5711.1
22/01/2016,13:42:00,420.8,418.8,422.3,9.736,4.015,6.764,,,,6442,5626.1
22/01/2016,13:44:00,421.3,418.7,422.5,9.632,4.168,6.781,,,,6399,5583.1
22/01/2016,13:46:00,421.6,419.4,422.6,9.658,4.03,6.723,,,,6400,5584.1
22/01/2016,13:48:00,421.4,419.5,422.4,9.703,3.846,6.685,,,,6418,5602.1
22/01/2016,13:50:00,420.7,419,422.4,9.783,3.861,6.715,,,,6453,5637.1
22/01/2016,13:52:00,421.9,419.7,422.3,9.745,3.75,6.705,,,,6460,5644.1
22/01/2016,13:54:00,422.2,420.2,423,9.763,3.789,6.7,,,,6467,5651.1
22/01/2016,13:56:00,422.4,420.3,423.2,9.681,3.803,6.665,,,,6421,5605.1
22/01/2016,13:58:00,421.6,419.9,422.7,9.664,3.673,6.574,,,,6373,5557.1
22/01/2016,14:00:00,421.8,419.6,422.9,9.539,3.723,6.55,,,,6312,5496.1
22/01/2016,14:02:00,422.2,420.2,423.1,9.536,3.52,6.443,,,,6288,5472.1
22/01/2016,14:04:00,422.2,420.1,423,9.499,3.469,6.396,,,,6255,5439.1
22/01/2016,14:06:00,421.5,419.3,422.7,9.391,3.556,6.386,,,,6192,5376.1
22/01/2016,14:08:00,421.8,420.1,422.5,9.501,3.374,6.47,,,,6301,5485.1
22/01/2016,14:10:00,422,420.1,422.6,9.556,3.278,6.455,,,,6319,5503.1
22/01/2016,14:12:00,421.8,419.8,422.4,9.473,3.359,6.391,,,,6249,5433.1
22/01/2016,14:14:00,421.5,419.6,422.3,9.428,3.357,6.344,,,,6205,5389.1
22/01/2016,14:16:00,420.6,419.6,422.7,9.53,3.319,6.262,,,,6202,5386.1
22/01/2016,14:18:00,421.7,420,422.5,9.423,3.286,6.247,,,,6168,5352.1
22/01/2016,14:20:00,421.9,419.8,422.4,9.334,3.145,6.19,,,,6124,5308.1
22/01/2016,14:22:00,422.1,420.3,422.5,9.235,2.877,6.083,,,,6066,5250.1
22/01/2016,14:24:00,420.8,419.3,422.1,9.258,2.831,6.014,,,,6033,5217.1
22/01/2016,14:26:00,421.5,419.7,421.9,9.253,2.755,5.992,,,,6031,5215.1
22/01/2016,14:28:00,421.4,419.6,421.9,8.91,2.924,5.877,,,,5831,5015.1
22/01/2016,14:30:00,421.3,419.5,422.1,9.005,2.66,5.799,,,,5854,5038.1
22/01/2016,14:32:00,421.3,419.4,422.3,8.96,2.63,5.781,,,,5833,5017.1
22/01/2016,14:34:00,420.7,419.1,421.8,8.995,2.638,5.726,,,,5811,4995.1
22/01/2016,14:36:00,420.8,419.4,421.5,8.836,2.532,5.625,,,,5715,4899.1
22/01/2016,14:38:00,420.5,419.2,421.3,8.853,2.445,5.613,,,,5716,4900.1
22/01/2016,14:40:00,420.5,418.5,421.5,8.753,2.642,5.575,,,,5644,4828.1
22/01/2016,14:42:00,420.9,419.4,422.1,8.913,2.521,5.504,,,,5687,4871.1
22/01/2016,14:44:00,420.9,419.2,421.9,8.843,2.504,5.484,,,,5650,4834.1
22/01/2016,14:46:00,420.8,419.1,422.3,8.735,2.62,5.489,,,,5604,4788.1
22/01/2016,14:48:00,421.5,419.3,422.3,8.732,2.62,5.586,,,,5654,4838.1
22/01/2016,14:50:00,421.5,419.7,422,8.889,2.453,5.62,,,,5741,4925.1
22/01/2016,14:52:00,421.6,419.8,422.3,8.836,2.538,5.605,,,,5713,4897.1
22/01/2016,14:54:00,421.5,420.1,422.3,8.888,2.519,5.542,,,,5705,4889.1
22/01/2016,14:56:00,421.6,420.1,422.8,8.851,2.532,5.465,,,,5656,4840.1
22/01/2016,14:58:00,421.4,419.8,423.1,8.686,2.354,5.336,,,,5550,4734.1
22/01/2016,15:00:00,421.5,419.6,422.2,8.635,2.273,5.276,,,,5504,4688.1
22/01/2016,15:02:00,421,419.4,422,8.543,2.19,5.171,,,,5423,4607.1
22/01/2016,15:04:00,421.3,419.5,422.1,8.42,2.003,5.062,,,,5344,4528.1
22/01/2016,15:06:00,420.6,419,422.3,8.446,1.945,4.943,,,,5301,4485.1
22/01/2016,15:08:00,421.4,419.3,422.2,8.297,1.948,4.883,,,,5218,4402.1
22/01/2016,15:10:00,420.8,419.1,421.9,8.08,1.896,4.736,,,,5069,4253.1
22/01/2016,15:12:00,420.3,418.6,421.3,7.768,1.75,4.497,,,,4844,4028.1
22/01/2016,15:14:00,419.8,417.7,421,7.664,1.672,4.382,,,,4752,3936.1
22/01/2016,15:16:00,419.9,418.1,421.1,7.647,1.645,4.265,,,,4699,3883.1
22/01/2016,15:18:00,419.8,418.1,420.9,7.576,1.517,4.152,,,,4630,3814.1
22/01/2016,15:20:00,419.9,418.2,420.7,7.445,1.391,4.095,,,,4562,3746.1
22/01/2016,15:22:00,419.6,417.6,420.7,7.324,1.452,4.051,,,,4487,3671.1
22/01/2016,15:24:00,420,417.8,421.3,7.123,1.395,3.898,,,,4349,3533.1
22/01/2016,15:26:00,419.8,417.6,420.8,7.184,1.307,3.872,,,,4366,3550.1
22/01/2016,15:28:00,419.5,417.8,420.7,7.428,1.346,3.859,,,,4459,3643.1
22/01/2016,15:30:00,418.6,417.7,420.1,7.345,1.293,3.788,,,,4398,3582.1
22/01/2016,15:32:00,418.3,416.9,419.8,7.239,1.255,3.709,,,,4313,3497.1
22/01/2016,15:34:00,418.9,417.1,419.8,7.054,1.158,3.597,,,,4200,3384.1
22/01/2016,15:36:00,419.1,417.3,419.9,6.868,1.07,3.536,,,,4103,3287.1
22/01/2016,15:38:00,418.8,417.3,420.2,6.854,1.133,3.443,,,,4060,3244.1
22/01/2016,15:40:00,418.7,416.9,420.5,6.825,1.132,3.353,,,,4013,3197.1
22/01/2016,15:42:00,419,417.4,420.4,6.909,1.134,3.266,,,,4021,3205.1
22/01/2016,15:44:00,419,417.4,420.3,6.731,1.114,3.129,,,,3897,3081.1
22/01/2016,15:46:00,418.8,416.9,420.2,6.458,1.097,2.989,,,,3728,2912.1
22/01/2016,15:48:00,419.1,417.1,420.3,6.288,1.123,2.801,,,,3594,2778.1
22/01/2016,15:50:00,418.9,416.9,420,6.119,1.184,2.606,,,,3432,2616.1
22/01/2016,15:52:00,419.7,417.6,420.4,6.176,1.188,2.672,,,,3481,2665.1
