Fecha de la Medida,Hora de la Medida,V12_Avg [V],V23_Avg [V],V31_Avg [V],I1_Avg [A],I2_Avg [A],I3_Avg [A],Pt+_Avg [W],Qti+_Avg [VAR],St+_Avg [VA],freq_Avg [Hz],P12+_Avg [W],S12+_Avg [VA],P12/S12 (FP12),P32+_Avg [W],S32+_Avg [VA],P32/S32 (FP32),thdV12_Avg [%],thdV23_Avg [%],thdV31_Avg [%],thdI1_Avg [%],thdI2_Avg [%],thdI3_Avg [%],Eat+_Avg [Wh],COMSUMO CALCULADO,,PD,,DBV1,DBV2,DBV3,DBI1,DBI2,DBI3,FPT,,PST1,PST2,PST3
14/01/2013,11:20:00 a. m.,436.6,437.8,435.8,8.031,7.931,6.822,5605,652,5643,60.01,2914,3506,0.831146606,2690,2987,0.900569133,2.228,2.257,2.346,6.622,10.28,9.151,467.0833,93.42,10000,4357.00,,0.03052969,0.244237521,0.213707831,5.745259831,4.428546348,10.17380618,0.993265993,,,,
14/01/2013,11:25:00 a. m.,436.1,437.3,435.4,7.956,7.86,6.747,5543,650.7,5581,59.97,2884,3469,0.831363505,2659,2950,0.901355932,2.191,2.241,2.333,6.757,10.45,9.35,929,92.38,,4419.00,,0.038202934,0.236858191,0.198655257,5.783805345,4.507379338,10.29118468,0.993191184,,,,
14/01/2013,11:30:00 a. m.,436.2,437.3,435.2,8.015,8.119,6.807,5569,673.5,5609,60.02,2886,3496,0.825514874,2682,2977,0.900906953,2.176,2.212,2.3,6.851,11.17,8.934,1393.083,92.82,,4391.00,,0.007641171,0.24451746,0.236876289,4.81234471,6.172355172,10.98469988,0.992868604,,0.4,0.5,0.6
14/01/2013,11:35:00 a. m.,436.3,437.3,435.1,8.012,8.144,6.814,5573,693.8,5616,60.03,2883,3496,0.824656751,2689,2980,0.902348993,2.217,2.238,2.327,7.007,11.39,9.031,1857.5,92.88,,4384.00,,0.015282341,0.24451746,0.259799801,4.640835873,6.364823683,11.00565956,0.992343305,,0.2,0,0.3
14/01/2013,11:40:00 a. m.,436.4,437.4,435.1,8.146,8.257,6.953,5674,694.7,5716,60.02,2931,3555,0.824472574,2742,3041,0.90167708,2.263,2.307,2.37,7.044,11.15,9.086,2330.333,94.57,,4284.00,,0.022920009,0.252120101,0.27504011,4.632642576,6.058400411,10.69104299,0.992652204,,0.2,0.1,0.1
14/01/2013,11:45:00 a. m.,435.7,436.7,434.5,8.146,8.27,6.999,5684,677.1,5724,60.01,2930,3549,0.825584672,2753,3056,0.900850785,2.238,2.302,2.385,6.912,10.99,9.037,2804,94.73,,4276.00,,0.01530339,0.244854235,0.260157625,4.368994234,5.957719411,10.32671365,0.99301188,,0.6,0.6,0.6
14/01/2013,11:50:00 a. m.,435.3,436.3,434,8.206,8.327,7.067,5733,682.4,5773,60.01,2951,3572,0.826147816,2781,3083,0.902043464,2.228,2.272,2.359,6.946,10.97,8.967,3281.75,95.55,,4227.00,,0.022977941,0.252757353,0.275735294,4.313559322,5.851694915,10.16525424,0.993071193,,1.1,1.1,1.1
14/01/2013,11:55:00 a. m.,435.2,435.8,434,8.026,8.175,6.892,5597,667.5,5636,60.02,2887,3493,0.826510163,2709,3004,0.901797603,2.203,2.204,2.328,7.002,11.05,8.951,3748.167,93.28,,4364.00,,0.045977011,0.183908046,0.229885057,4.265361798,6.201013294,10.46637509,0.993080199,,0.5,0.9,0.5
14/01/2013,12:00:00 p. m.,435.8,436.5,434.5,8.152,8.294,7.028,5697,670.1,5736,59.99,2934,3552,0.826013514,2763,3068,0.900586701,2.206,2.221,2.337,6.84,10.88,8.854,4222.917,94.95,,4264.00,,0.045913682,0.20661157,0.252525253,4.183351793,5.998125586,10.18147738,0.993200837,,0.5,0.2,0.5
14/01/2013,12:05:00 p. m.,435.7,436.3,434.5,8.149,8.274,6.996,5685,681.8,5725,60,2932,3550,0.825915493,2752,3053,0.901408451,2.301,2.321,2.433,7.085,11.04,9.195,4696.667,94.75,,4275.00,,0.045924225,0.1836969,0.229621125,4.38959819,5.990862121,10.38046031,0.9930131,,0.5,0.5,0.5
14/01/2013,12:10:00 p. m.,435.4,436.3,434.5,8.186,8.314,7.051,5717,670,5756,60.01,2946,3565,0.826367461,2771,3076,0.900845254,2.292,2.295,2.407,7.164,10.96,8.992,5173.083,95.28,,4244.00,,1.30554E-14,0.206706477,0.206706477,4.275826929,5.906330941,10.18215787,0.993224461,,0.4,0.2,0
14/01/2013,12:15:00 p. m.,434.8,435.9,433.7,8.145,8.255,7.003,5672,673.2,5712,60,2922,3542,0.824957651,2749,3053,0.900425811,2.304,2.312,2.395,7.111,10.98,9.078,5645.75,94.53,,4288.00,,0,0.25298988,0.25298988,4.409691065,5.819766697,10.22945776,0.992997199,,0.9,0.4,0.8
14/01/2013,12:20:00 p. m.,435,436,433.9,8.217,8.328,7.067,5732,678.3,5772,60.01,2954,3575,0.826293706,2777,3081,0.901330737,2.202,2.236,2.309,7.001,10.78,8.895,6123.417,95.53,,4228.00,,0.007663422,0.237566097,0.24522952,4.40030493,5.810604777,10.21090971,0.993069993,,0.4,0.3,0.6
14/01/2013,12:25:00 p. m.,435.7,436.7,434.6,8.176,8.29,7.025,5709,682.7,5749,60.03,2941,3562,0.825659742,2767,3068,0.901890482,2.285,2.275,2.377,7.154,10.98,9.1,6599.167,95.15,,4251.00,,0.007651109,0.237184392,0.244835501,4.4144566,5.870333319,10.28478992,0.993042268,,0.9,0.8,0.9
14/01/2013,12:30:00 p. m.,435.2,436.1,434.1,8.032,8.165,6.898,5597,669,5637,60,2885,3496,0.825228833,2711,3008,0.901263298,2.286,2.232,2.364,7.208,11.15,9.121,7065.583,93.28,,4363.00,,0.015320974,0.222154129,0.237475103,4.334271487,6.061918164,10.39618965,0.992904027,,0.2,0.1,0.2
14/01/2013,12:35:00 p. m.,435.6,436.6,434.5,8.046,8.187,6.92,5616,659.4,5654,60.02,2895,3505,0.82596291,2720,3021,0.900364118,2.355,2.267,2.402,7.386,11.15,9.103,7533.583,93.60,,4346.00,,0.007652866,0.237238846,0.244891712,4.254308297,6.081285363,10.33559366,0.993279094,,0.1,0.1,0.1
14/01/2013,12:40:00 p. m.,435.1,435.7,433.9,8.046,8.171,6.9,5601,671.6,5641,60.02,2891,3501,0.825764067,2710,3007,0.901230462,2.318,2.258,2.423,7.169,11.07,9.209,8000.333,93.35,,4359.00,,0.045987583,0.183950333,0.229937917,4.416663062,6.038845871,10.45550893,0.992909059,,0.1,0.4,0.2
14/01/2013,12:45:00 p. m.,434.9,435.4,433.5,7.902,8.034,6.75,5484,669.6,5524,59.99,2834,3436,0.824796275,2649,2939,0.901326982,2.387,2.321,2.463,7.433,11.36,9.512,8457.333,91.40,,4476.00,,0.069028992,0.184077312,0.253106305,4.496165036,6.241734991,10.73790003,0.99275887,,0.7,1.2,1
14/01/2013,12:50:00 p. m.,434.9,435.7,433.9,8.008,8.13,6.855,5566,660.7,5604,60.03,2876,3483,0.82572495,2690,2986,0.90087073,2.371,2.283,2.455,7.322,11.17,9.297,8921.167,92.77,,4396.00,,0.015331545,0.19931008,0.214641625,4.483973383,6.075762188,10.55973557,0.993219129,,0.2,0,0
14/01/2013,12:55:00 p. m.,434.9,436,433.7,7.98,8.082,6.789,5531,687.4,5574,59.99,2860,3470,0.824207493,2670,2960,0.902027027,2.361,2.25,2.415,7.2,11.22,9.237,9382.083,92.18,,4426.00,,0.007665185,0.260616281,0.268281466,4.76565577,6.104765656,10.87042143,0.992285612,,0,0.6,0.2
14/01/2013,1:00:00 p. m.,434.8,435.7,433.3,7.899,8.002,6.692,5461,686.5,5504,60,2831,3435,0.824163028,2630,2916,0.901920439,2.331,2.279,2.396,7.36,11.29,9.336,9837.167,91.02,,4496.00,,0.046019328,0.253106305,0.299125633,4.88646926,6.254149515,11.14061878,0.9921875,,0.1,0,0.6
14/01/2013,1:05:00 p. m.,434.9,435.6,433.5,7.728,7.87,6.564,5346,664.5,5387,60.01,2769,3361,0.823861946,2576,2859,0.901014341,2.31,2.269,2.379,7.458,11.42,9.483,10282.67,89.10,,4613.00,,0.053680982,0.214723926,0.268404908,4.611497157,6.533706344,11.1452035,0.992389085,,0,0.4,0.2
14/01/2013,1:10:00 p. m.,434.8,435.4,433.1,7.568,7.713,6.384,5218,670.5,5261,60.02,2709,3291,0.823154057,2508,2779,0.902482908,2.325,2.281,2.411,7.523,11.63,9.781,10717.5,86.97,,4739.00,,0.084401136,0.222512085,0.30691322,4.79575352,6.803600277,11.5993538,0.991826649,,0,0.3,0.2
14/01/2013,1:15:00 p. m.,434.2,435.2,432.9,7.567,7.71,6.39,5216,667.1,5258,60.04,2705,3286,0.823189288,2510,2781,0.902553038,2.33,2.248,2.417,7.53,11.75,9.706,11152.17,86.93,,4742.00,,0.023036167,0.253397835,0.276434001,4.772234273,6.752203812,11.52443809,0.992012172,,0.7,0.4,0.6
14/01/2013,1:20:00 p. m.,433.8,434.9,432.7,7.213,7.386,6.054,4947,647.9,4989,60.03,2571,3129,0.821668265,2375,2633,0.902012913,2.325,2.232,2.39,7.747,12.11,10.05,11564.42,82.45,,5011.00,,0,0.253573075,0.253573075,4.774124824,7.287076938,12.06120176,0.991581479,,1,0.5,0.4
14/01/2013,1:25:00 p. m.,434.1,435,432.8,7.362,7.536,6.204,5066,651.5,5107,60.02,2630,3196,0.82290363,2436,2699,0.902556502,2.345,2.275,2.412,7.71,11.99,10.01,11986.58,84.43,,4893.00,,0.030724326,0.238113526,0.268837852,4.663065112,7.136764288,11.7998294,0.991971803,,0.1,0.2,0.1
14/01/2013,1:30:00 p. m.,433.8,434.8,432.8,7.339,7.522,6.195,5052,646.4,5093,59.99,2621,3184,0.823178392,2431,2694,0.90237565,2.369,2.264,2.419,7.679,12.02,9.874,12407.58,84.20,,4907.00,,0,0.230520977,0.230520977,4.564019757,7.171352584,11.73537234,0.991949735,,0,0.1,0.1
