Fecha de la Medida,Hora de la Medida,AB,BC,AC,FASE A,FASE B,FASE C,NEUTRO,POTENCIA ACTIVA AB [W],POTENCIA ACTIVA BC [W],POTENCIA ACTIVA C [W],,,,
13/01/2014,13:26:35,427.43,435.99,431.93,7.56,5.33,5.66,,,,,5443.28,5.44328,464.21,0.46421
13/01/2014,13:31:35,427.91,436.94,433.07,7.9,5.42,5.62,,,,,5592.52,5.59252,440.82,0.44082
13/01/2014,13:36:35,425.56,434.45,430.38,8.22,5.72,5.79,,,,,5763.35,5.76335,456.07,0.45607
13/01/2014,13:41:35,423.94,432.82,428.31,8.26,5.8,5.85,,,,,5781.11,5.78111,387.75,0.38775
13/01/2014,13:46:35,423.42,432.4,428.05,8.31,5.84,5.9,,,,,5802.6,5.8026,350.03,0.35003
13/01/2014,13:51:35,425.36,434.3,430.52,8.58,6.05,6.16,,,,,6040.31,6.04031,334.62,0.33462
13/01/2014,13:56:35,419.06,427.97,424.35,4.01,1.27,1.6,,,,,2242.67,2.24267,409.77,0.40977
13/01/2014,14:01:35,417.37,425.41,422.12,2.96,0,0,,,,,969.89,0.96989,708.07,0.70807
13/01/2014,14:06:35,416.3,424.3,421.25,2.77,0,0,,,,,910.67,0.91067,649.62,0.64962
13/01/2014,14:11:35,415.97,424.26,421.13,2.46,0,0,,,,,816.72,0.81672,573.5,0.5735
13/01/2014,14:16:35,420.75,429.77,426.05,2.51,0,0,,,,,838.82,0.83882,599.36,0.59936
13/01/2014,14:21:35,422.11,430.96,427.13,2.3,0,0,,,,,769.85,0.76985,549.22,0.54922
13/01/2014,14:26:35,421.53,431.06,427.28,2.12,0,0,,,,,715.32,0.71532,500.17,0.50017
13/01/2014,14:31:35,417.67,426.77,423.29,2.04,0,0,,,,,684.02,0.68402,470.76,0.47076
13/01/2014,14:36:35,417.01,425.45,421.54,1.82,0,0,,,,,584.97,0.58497,450.86,0.45086
13/01/2014,14:41:35,420.83,429.77,426.41,1.89,0,0,,,,,634.72,0.63472,446.16,0.44616
13/01/2014,14:46:35,421.4,430.35,426.7,1.83,0,0,,,,,613.68,0.61368,431.9,0.4319
13/01/2014,14:51:35,421.67,430.42,426.78,1.64,0,0,,,,,553.54,0.55354,388.77,0.38877
13/01/2014,14:56:35,417.94,426.2,422.93,1.53,0,0,,,,,502.73,0.50273,368.71,0.36871
13/01/2014,15:01:35,417.04,426.22,421.67,1.58,0,0,,,,,520.08,0.52008,376.9,0.3769
13/01/2014,15:06:35,422.82,431.85,428.11,1.59,0,0,,,,,534.81,0.53481,378.69,0.37869
13/01/2014,15:11:35,421.95,430.96,426.82,1.49,0,0,,,,,487.18,0.48718,372.14,0.37214
13/01/2014,15:16:35,416,424.65,421.02,1.51,0,0,,,,,499.89,0.49989,357.57,0.35757
13/01/2014,15:21:35,421.22,430.41,426.29,4.93,4.05,4.01,,,,,3560.4,3.5604,-60.32,-0.06032
13/01/2014,15:26:35,426.04,435.2,431.15,4.55,3.6,3.52,,,,,3274.97,3.27497,-17.46,-0.01746
13/01/2014,15:31:35,420.02,428.73,425.04,2.63,1.74,1.81,,,,,1791.45,1.79145,24.19,0.02419
13/01/2014,15:36:35,419.78,428.99,424.78,3.8,2.8,2.83,,,,,2659.97,2.65997,-11.44,-0.01144
13/01/2014,15:41:35,417.27,426.19,422.48,1.44,0,0,,,,,474.24,0.47424,345.61,0.34561
13/01/2014,15:46:35,420.89,429.95,425.63,3.4,2.33,2.36,,,,,2334.57,2.33457,38.24,0.03824
13/01/2014,15:51:35,421.26,429.94,425.46,3.18,2.04,2.1,,,,,2147.07,2.14707,84.3,0.0843
13/01/2014,15:56:35,420.63,429.46,424.71,2.75,1.68,1.76,,,,,1825.53,1.82553,138.35,0.13835
13/01/2014,16:01:35,418.84,427.66,423.55,2.48,1.34,1.42,,,,,1560.42,1.56042,114.68,0.11468
13/01/2014,16:06:35,418,426.52,422.86,1.56,0,0,,,,,510.92,0.51092,375.16,0.37516
13/01/2014,16:11:35,417.44,427.03,422.47,1.57,0,0,,,,,508.73,0.50873,385.79,0.38579
13/01/2014,16:16:35,417.03,426.63,422.31,1.52,0,0,,,,,499.23,0.49923,362.73,0.36273
13/01/2014,16:21:35,417.88,426.63,422.25,1.64,0,0,,,,,537.02,0.53702,398.66,0.39866
13/01/2014,16:26:35,416.85,426.13,422.15,1.67,0,0,,,,,546.87,0.54687,403.97,0.40397
13/01/2014,16:31:35,419.41,428.71,424.55,2.13,0.98,1.15,,,,,1281.65,1.28165,127.24,0.12724
13/01/2014,16:36:35,418.02,426.99,423.04,1.6,0,0,,,,,520.93,0.52093,393.93,0.39393
13/01/2014,16:41:35,417.65,426.92,422.86,1.82,0,0,,,,,678.53,0.67853,288.43,0.28843
13/01/2014,16:46:35,419.25,428.11,424.08,2.18,0,0,,,,,700.94,0.70094,555.79,0.55579
13/01/2014,16:51:35,419.15,428.33,424.42,2.12,0,0,,,,,690.21,0.69021,532.94,0.53294
13/01/2014,16:56:35,419.6,428.87,424.13,3.08,0,0,,,,,916.93,0.91693,881.98,0.88198
13/01/2014,17:01:35,418.07,427.45,423.13,2.26,0,0,,,,,736.6,0.7366,559.79,0.55979
13/01/2014,17:06:35,417.65,427.47,423.01,2.22,0,0,,,,,718.91,0.71891,555.66,0.55566
13/01/2014,17:11:35,418.21,427.89,423.44,2.07,0,0,,,,,676.92,0.67692,516.25,0.51625
13/01/2014,17:16:35,418.16,427.21,423.36,2.02,0,0,,,,,661.95,0.66195,502.25,0.50225
13/01/2014,17:21:35,418.36,427.56,422.72,2.05,0,0,,,,,663.37,0.66337,520.33,0.52033
13/01/2014,17:26:35,418.78,428.33,423.9,2.09,0,0,,,,,683.4,0.6834,519.36,0.51936
13/01/2014,17:31:35,418.24,427.22,423.11,2.11,0,0,,,,,686.21,0.68621,527.64,0.52764
13/01/2014,17:36:35,418.36,427.81,423.29,2.09,0,0,,,,,679.04,0.67904,524.64,0.52464
13/01/2014,17:41:35,418.53,427.98,423.88,2.08,0,0,,,,,681.05,0.68105,519.32,0.51932
13/01/2014,17:46:35,418.48,427.75,423.91,1.96,0,0,,,,,636.07,0.63607,491.45,0.49145
13/01/2014,17:51:35,419.42,429.19,424.45,2.07,0,0,,,,,671.33,0.67133,523.33,0.52333
13/01/2014,17:56:35,418.33,428.23,423.41,2.07,0,0,,,,,674.47,0.67447,518.02,0.51802
13/01/2014,18:01:35,418.56,427.73,423.72,1.97,0,0,,,,,646.29,0.64629,491.52,0.49152
13/01/2014,18:06:35,416.64,426.65,421.89,2.06,0,0,,,,,670.41,0.67041,509.08,0.50908
13/01/2014,18:11:35,417.12,427.36,423.36,2.05,0,0,,,,,663.82,0.66382,513.37,0.51337
13/01/2014,18:16:35,414.65,425.1,420.38,1.99,0,0,,,,,649.76,0.64976,486.99,0.48699
13/01/2014,18:21:35,421.16,431.5,427.5,2.11,0,0,,,,,693.36,0.69336,531.42,0.53142
13/01/2014,18:26:35,418.42,428.51,424.05,1.99,0,0,,,,,654.36,0.65436,494.88,0.49488
13/01/2014,18:31:35,418.94,429.59,425.1,2.04,0,0,,,,,674.65,0.67465,502.39,0.50239
13/01/2014,18:36:35,419.29,429.44,425.42,2.07,0,0,,,,,682.23,0.68223,509.03,0.50903
13/01/2014,18:41:35,418.74,429.02,425.12,2.01,0,0,,,,,667.03,0.66703,487.84,0.48784
13/01/2014,18:46:35,418.6,428.83,425.02,2.03,0,0,,,,,675.74,0.67574,491.59,0.49159
13/01/2014,18:51:35,418.82,429.36,425.11,2.05,0,0,,,,,682.28,0.68228,496.34,0.49634
13/01/2014,18:56:35,419.84,430.04,426.17,2.04,0,0,,,,,684.59,0.68459,490.92,0.49092
13/01/2014,19:01:35,421.61,431.81,427.88,2.11,0,0,,,,,702.46,0.70246,521.74,0.52174
13/01/2014,19:06:35,421.01,431.66,427.32,2.04,0,0,,,,,672.23,0.67223,510.08,0.51008
13/01/2014,19:11:35,420.08,430.38,426.74,1.95,0,0,,,,,661.3,0.6613,465.55,0.46555
13/01/2014,19:16:35,421.22,431.89,427.26,1.97,0,0,,,,,653.72,0.65372,490.57,0.49057
13/01/2014,19:21:35,421.45,432.68,427.61,1.94,0,0,,,,,635.12,0.63512,493.66,0.49366
13/01/2014,19:26:35,422.05,432.77,428.44,1.91,0,0,,,,,641.7,0.6417,466.41,0.46641
13/01/2014,19:31:35,421.99,432.64,428.76,1.95,0,0,,,,,650.25,0.65025,485.06,0.48506
13/01/2014,19:36:35,422.33,433.17,428.71,1.95,0,0,,,,,649.48,0.64948,490.24,0.49024
13/01/2014,19:41:35,422.23,432.64,428.72,1.89,0,0,,,,,625.61,0.62561,477.47,0.47747
13/01/2014,19:46:35,422.41,432.86,428.89,1.94,0,0,,,,,645.99,0.64599,485.34,0.48534
13/01/2014,19:51:35,417.65,428.25,424.11,1.72,0,0,,,,,566.9,0.5669,421.82,0.42182
13/01/2014,19:56:35,419.55,429.58,425.04,1.89,0,0,,,,,610.13,0.61013,482.03,0.48203
13/01/2014,20:01:35,419.04,429.15,425.09,1.71,0,0,,,,,572.97,0.57297,415.3,0.4153
13/01/2014,20:06:35,420.76,430.75,426.69,1.8,0,0,,,,,604.48,0.60448,437.38,0.43738
13/01/2014,20:11:35,419.21,429.24,425.75,1.64,0,0,,,,,551.87,0.55187,391.73,0.39173
13/01/2014,20:16:35,420.72,430.84,426.87,1.9,0,0,,,,,636.25,0.63625,465.7,0.4657
