Feha de la Medda,Hora de la Medda,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE  C,NEUTRO,POTENA ATVA AB [W],POTENA ATVA B [W],POTENA ATVA  [W],
19/01/2015,12:40:09,410.62,416.31,415.12,6.67,7.99,6.38,,,,,4755.05
19/01/2015,12:45:09,411.79,417.49,416.29,6.72,8.16,6.4,,,,,4792.56
19/01/2015,12:50:09,412.05,417.01,415.29,6.4,7.79,6.1,,,,,4575.76
19/01/2015,12:55:09,410.01,415.66,414.27,5.63,6.76,5.38,,,,,4014.29
19/01/2015,13:00:09,411.9,417.21,415.56,6.29,7.45,6,,,,,4502.02
19/01/2015,13:05:09,411.01,416.61,415.15,5.71,6.97,5.45,,,,,4081.02
19/01/2015,13:10:09,408.97,414.25,412.16,4.25,5.77,4.03,,,,,3019.15
19/01/2015,13:15:09,409.37,414.92,413.42,5.35,6.62,5.07,,,,,3786.36
19/01/2015,13:20:09,408.46,413.66,412.14,5.04,6.24,4.78,,,,,3566.18
19/01/2015,13:25:09,407.83,413.4,411.73,2.47,4.03,2.34,,,,,1763.6
19/01/2015,13:30:09,405.19,410.65,408.66,0,2.02,0,,,,,0
19/01/2015,13:35:09,404.81,409.94,407.87,1.15,2.53,1.06,,,,,774.53
19/01/2015,13:40:09,410.58,415.68,413.81,4.2,5.5,4,,,,,3008.2
19/01/2015,13:45:09,405.67,411.47,408.77,0,2.7,0,,,,,0
19/01/2015,13:50:09,411.34,417.21,414.39,5.33,7.06,5.03,,,,,3801.04
19/01/2015,13:55:09,411.98,417.71,415.59,5.79,7.2,5.46,,,,,4131.82
19/01/2015,14:00:09,411.43,417.63,414.8,5.6,7.19,5.28,,,,,3990.61
19/01/2015,14:05:09,409.16,414.57,413.04,2.86,4.19,2.68,,,,,2036.67
19/01/2015,14:10:09,410.52,416.14,414.55,5.3,6.59,5.01,,,,,3777.72
19/01/2015,14:15:09,411.33,417.16,415.06,5.03,6.52,4.76,,,,,3591.14
19/01/2015,14:20:09,406.05,411.76,410,0,2.5,0,,,,,0
19/01/2015,14:25:09,404.81,411.09,409.6,0,2.25,0,,,,,0
19/01/2015,14:30:09,403.5,410.2,408.09,0,2.57,0,,,,,0
19/01/2015,14:35:09,403.88,410.19,408.21,0,2.38,0,,,,,0
19/01/2015,14:40:09,408.48,413.99,413.03,2.84,4.2,2.61,,,,,2006.61
19/01/2015,14:45:09,410.76,416.2,414.59,3.97,5.27,3.74,,,,,2835.95
19/01/2015,14:50:09,410.72,416.22,414.73,4.38,5.62,4.1,,,,,3115.09
19/01/2015,14:55:09,409.55,414.9,413.51,3.6,4.91,3.37,,,,,2566.61
19/01/2015,15:00:09,405.56,411.25,408.92,0,2.49,1.21,,,,,247.63
19/01/2015,15:05:09,406.05,411.73,409.74,0,2.17,0,,,,,0
19/01/2015,15:10:09,405.82,411.25,410.07,0,2.02,0,,,,,0
