Fecha de la Medida,Hora de la Medida,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE C,POTENA ATVA AB [W],POTENA ATVA B [W],POTENCIA ACTIVA  [W],,GENERACION [kWh],GEN [kWh]
16/01/2018,14:00:00,422.5,420.8,422.4,6.991,7.282,7.925,,,5443,5.443,1.3608,1.36
16/01/2018,14:15:00,421,419.7,420.9,6.125,6.411,7.003,,,4774,4.774,2.5543,2.55
16/01/2018,14:30:00,420.9,419.4,420.8,5.842,6.107,6.726,,,4575,4.575,3.698,3.7
16/01/2018,14:45:00,419.9,418.6,420.4,5.199,5.432,6.096,,,4111,4.111,4.7258,4.73
16/01/2018,15:00:00,418.7,417.3,419.1,4.276,4.47,5.153,,,3428,3.428,5.5828,5.58
16/01/2018,15:15:00,417.2,415.8,417.6,3.482,3.656,4.3,,,2821,2.821,6.288,6.29
16/01/2018,15:30:00,416.5,414.7,416.5,2.692,2.843,3.485,,,2232,2.232,6.846,6.85
16/01/2018,15:45:00,416.4,414.9,416.6,2.304,2.447,3.049,,,1933,1.933,7.3293,7.33
16/01/2018,16:00:00,415.7,414.3,415.9,1.758,1.899,2.49,,,1522,1.522,7.7098,7.71
16/01/2018,16:15:00,415.3,414,415.9,1.698,1.834,2.451,,,1487,1.487,8.0815,8.08
16/01/2018,16:30:00,415.7,414.5,416.3,1.42,1.553,2.195,,,1285,1.285,8.4028,8.4
16/01/2018,16:45:00,415.7,414.1,416.3,1.092,1.258,1.912,,,1072,1.072,8.6708,8.67
16/01/2018,17:00:00,415.9,414.3,416.4,0.019,0.247,1.499,,,573.6,0.5736,8.8142,8.81
16/01/2018,17:15:00,415.2,413.5,415.8,0,0,0.906,,,264,0.264,8.8802,8.88
16/01/2018,17:30:00,415.7,414.3,416.6,0.044,0.042,0.742,,,157.4,0.1574,8.9195,8.92
16/01/2018,17:45:00,414.3,414.4,417.4,0,0,0,,,0,0,8.9195,8.92
16/01/2018,18:00:00,415,413.8,416.2,0,0,0,,,0,0,8.9195,8.92
16/01/2018,18:15:00,410.7,409.4,412.2,0,0,0,,,0,0,8.9195,8.92
16/01/2018,18:30:00,408.9,407.8,410.4,0,0,0,,,0,0,8.9195,8.92
16/01/2018,18:45:00,409.6,408.5,411,0,0,0,,,0,0,8.9195,8.92
16/01/2018,19:00:00,410.1,409.2,411.8,0,0,0,,,0,0,8.9195,8.92
16/01/2018,19:15:00,410.7,409.8,412.7,0,0,0,,,0,0,8.9195,8.92
16/01/2018,19:30:00,411.2,410.4,413.3,0,0,0,,,0,0,8.9195,8.92
16/01/2018,19:45:00,411.9,411.2,414.1,0,0,0,,,0,0,8.9195,8.92
16/01/2018,20:00:00,412.9,412.1,415.1,0,0,0,,,0,0,8.9195,8.92
16/01/2018,20:15:00,414.1,413.1,415.8,0,0,0,,,0,0,8.9195,8.92
16/01/2018,20:30:00,415.1,413.7,416.8,0,0,0,,,0.042,0,8.9195,8.92
16/01/2018,20:45:00,415.5,414.3,417.4,0,0,0,,,0,0,8.9195,8.92
16/01/2018,21:00:00,415.8,414.7,417.7,0,0,0,,,0,0,8.9195,8.92
16/01/2018,21:15:00,415.9,414.8,417.6,0,0,0,,,0,0,8.9195,8.92
16/01/2018,21:30:00,416.5,415.1,417.9,0,0,0,,,0,0,8.9195,8.92
16/01/2018,21:45:00,416.3,415,417.6,0,0,0,,,0,0,8.9195,8.92
16/01/2018,22:00:00,417.1,415.6,418.2,0,0,0,,,0,0,8.9195,8.92
16/01/2018,22:15:00,417.3,415.9,418.5,0,0,0,,,0,0,8.9195,8.92
16/01/2018,22:30:00,417.9,416.4,419,0,0,0,,,0,0,8.9195,8.92
16/01/2018,22:45:00,418.9,417.1,419.6,0,0,0,,,0,0,8.9195,8.92
16/01/2018,23:00:00,418.6,416.6,419.4,0,0,0,,,0.042,0,8.9195,8.92
16/01/2018,23:15:00,418.9,417.4,419.8,0,0,0,,,0,0,8.9195,8.92
16/01/2018,23:30:00,414.9,413.5,415.8,0,0,0,,,0,0,8.9195,8.92
16/01/2018,23:45:00,415.3,414.1,416.2,0,0,0,,,0,0,8.9195,8.92
17/01/2018,00:00:00,415.5,414.1,416.2,0,0,0,,,0,0,8.9195,8.92
17/01/2018,00:15:00,414.9,413.8,415.7,0,0,0,,,0,0,8.9195,8.92
17/01/2018,00:30:00,415.4,414.1,416.1,0,0,0,,,0,0,8.9195,8.92
17/01/2018,00:45:00,415.9,414.6,416.5,0,0,0,,,0,0,8.9195,8.92
17/01/2018,01:00:00,416.1,414.8,416.8,0,0,0,,,0,0,8.9195,8.92
17/01/2018,01:15:00,414.7,413.8,415.5,0,0,0,,,0,0,8.9195,8.92
17/01/2018,01:30:00,415.1,413.9,415.9,0,0,0,,,0,0,8.9195,8.92
17/01/2018,01:45:00,415.3,414.1,416,0,0,0,,,0,0,8.9195,8.92
17/01/2018,02:00:00,415.8,414.4,416.6,0,0,0,,,0,0,8.9195,8.92
17/01/2018,02:15:00,415.5,414.5,416.3,0,0,0,,,0,0,8.9195,8.92
17/01/2018,02:30:00,415.9,414.7,416.7,0,0,0,,,0,0,8.9195,8.92
17/01/2018,02:45:00,415.9,414.6,416.6,0,0,0,,,0,0,8.9195,8.92
17/01/2018,03:00:00,415.7,414.4,416.5,0,0,0,,,0,0,8.9195,8.92
17/01/2018,03:15:00,415.5,414.2,416.2,0,0,0,,,0,0,8.9195,8.92
17/01/2018,03:30:00,415.5,414.1,416.2,0,0,0,,,0,0,8.9195,8.92
17/01/2018,03:45:00,415.6,414.4,416.4,0,0,0,,,0,0,8.9195,8.92
17/01/2018,04:00:00,415.4,414.2,416.3,0,0,0,,,0,0,8.9195,8.92
17/01/2018,04:15:00,415.6,414.3,416.3,0,0,0,,,0,0,8.9195,8.92
17/01/2018,04:30:00,415.1,414,415.9,0,0,0,,,0,0,8.9195,8.92
17/01/2018,04:45:00,414.7,413.4,415.4,0,0,0,,,0,0,8.9195,8.92
17/01/2018,05:00:00,414.8,413.5,415.5,0,0,0,,,0,0,8.9195,8.92
17/01/2018,05:15:00,414.9,413.5,415.8,0,0,0,,,0,0,8.9195,8.92
