Fecha de la Medida,Hora de la Medida,FASE AB,FASE BC,FASE AC,FASE A,FASE B,FASE C,POTENA ATVA AB [W],POTENA ATVA B [W],POTENCIA ACTIVA  [W],,GENERACION [kWh]
13/01/2017,12:00:00,424.3,421.6,424.8,9.636,9.81,9.054,,,7025,7.0207,1.7552
13/01/2017,12:15:00,424.3,421.7,424.9,9.57,9.762,8.966,,,6978,6.9737,3.4986
13/01/2017,12:30:00,424.8,422,425.3,9.926,10.08,9.309,,,7233,7.2287,5.3057
13/01/2017,12:45:00,424.3,421.8,425,9.579,9.784,9.008,,,6998,6.9937,7.0542
13/01/2017,13:00:00,424.7,422.2,425.5,9.663,9.922,9.09,,,7078,7.0737,8.8226
13/01/2017,13:15:00,424.7,422.4,425.7,9.474,9.68,8.94,,,6940,6.9357,10.5565
13/01/2017,13:30:00,424.4,421.9,425.4,9.237,9.532,8.666,,,6771,6.7667,12.2482
13/01/2017,13:45:00,424.5,422.1,425.6,8.866,9.169,8.341,,,6517,6.5127,13.8763
13/01/2017,14:00:00,424.4,422,425.4,8.749,9.067,8.246,,,6439,6.4347,15.485
13/01/2017,14:15:00,423.9,421.3,425,8.693,9.034,8.131,,,6382,6.3777,17.0794
13/01/2017,14:30:00,424.4,421.9,425.2,8.484,8.763,7.909,,,6221,6.2167,18.6336
13/01/2017,14:45:00,424,421.4,424.8,7.831,8.099,7.282,,,5743,5.7387,20.0682
13/01/2017,15:00:00,421.9,419.4,422.7,6.55,6.831,6.009,,,4783,4.7787,21.2629
13/01/2017,15:15:00,421.1,418.7,422.1,5.993,6.31,5.48,,,4381,4.3767,22.3571
13/01/2017,15:30:00,417.8,415.6,419.3,4.064,4.191,3.541,,,3174,3.1697,23.1495
13/01/2017,15:45:00,411.8,409.7,415.5,1.243,0.441,0.309,,,508.5,0.5042,23.2755
13/01/2017,16:00:00,414.3,412.4,416.4,2.112,1.952,1.538,,,1590,1.5857,23.6719
13/01/2017,16:15:00,412.1,410.2,415.1,1.087,0.092,0.031,,,209.8,0.2055,23.7233
13/01/2017,16:30:00,412.7,410.9,415.7,1.161,0.306,0.173,,,304.8,0.3005,23.7984
13/01/2017,16:45:00,413.1,411.5,415.3,1.127,0.261,0.073,,,241.8,0.2375,23.8578
13/01/2017,17:00:00,412.2,410.3,414.2,1.169,0.52,0.025,,,244.7,0.2404,23.9179
13/01/2017,17:15:00,412.1,410.2,415,1.069,0,0.032,,,197.7,0.1934,23.9662
13/01/2017,17:30:00,411.4,409.5,415.2,1.126,0,0,,,208.3,0.204,24.0172
13/01/2017,17:45:00,414,412.3,415.7,1.114,0,0,,,180.6,0.1763,24.0613
13/01/2017,18:00:00,414.1,412.4,416,1.129,0,0,,,159,0.1547,24.0999
13/01/2017,18:15:00,413.3,411.4,415,1.106,0,0,,,175.6,0.1713,24.1427
13/01/2017,18:30:00,411.2,409.2,413.1,1.114,0.002,0,,,172.9,0.1686,24.1849
13/01/2017,18:45:00,412,410,414.1,1.1,0,0,,,176.9,0.1726,24.228
13/01/2017,19:00:00,412.8,411.3,415,1.03,0,0,,,136.3,0.132,24.261
13/01/2017,19:15:00,413.8,412.2,415.7,0.971,0,0,,,129.1,0.1248,24.2922
13/01/2017,19:30:00,414.1,412.5,416,1.023,0,0,,,156.9,0.1526,24.3303
13/01/2017,19:45:00,414.7,413.4,416.9,0.855,0,0,,,117.6,0.1133,24.3587
13/01/2017,20:00:00,415.9,414.6,417.9,0.907,0,0,,,134.2,0.1299,24.3911
13/01/2017,20:15:00,414,412.6,415.9,0.507,0,0,,,63.48,0.0591,24.4059
13/01/2017,20:30:00,414.2,412.8,416,0.302,0,0,,,30.79,0.0265,24.4125
13/01/2017,20:45:00,415.1,413.6,416.9,0.528,0,0,,,64.16,0.0598,24.4275
13/01/2017,21:00:00,415.4,414,417.3,0.78,0,0,,,102.5,0.0982,24.452
13/01/2017,21:15:00,414.3,413,416.5,1.042,0,0,,,160,0.1557,24.4909
13/01/2017,21:30:00,415,413.7,417.3,1.063,0,0,,,157.7,0.1534,24.5293
13/01/2017,21:45:00,415.6,414.4,417.9,1.034,0,0,,,150.8,0.1465,24.5659
13/01/2017,22:00:00,412.8,411.5,415.1,1.025,0,0,,,161.1,0.1568,24.6051
